team,season_year,games_played,avg_points,avg_3pm,avg_assists,avg_steals,avg_blocks,avg_def_reb,avg_turnovers,win_pct,rank_offense,rank_defense,champion,is_champion
Boston Celtics,2024,107,118.2,17.0,26.4,7.1,6.1,34.6,11.4,76.6,1,5,Boston Celtics,1
Denver Nuggets,2023,106,114.8,11.8,28.6,7.5,4.8,33.3,13.1,67.9,14,12,Denver Nuggets,1
Golden State Warriors,2022,112,113.1,14.6,27.5,7.7,4.2,34.6,15.2,57.1,13,7,Golden State Warriors,1
Milwaukee Bucks,2021,132,115.4,13.7,24.2,7.9,4.5,37.1,13.7,64.4,2,2,Milwaukee Bucks,1
Los Angeles Lakers,2020,71,114.2,11.6,24.8,8.3,5.5,35.0,15.4,71.8,8,5,Los Angeles Lakers,1
Toronto Raptors,2019,106,112.3,13.0,25.3,8.5,5.1,35.9,14.2,67.9,10,3,Toronto Raptors,1
Golden State Warriors,2018,109,113.0,11.4,27.7,7.6,6.3,35.2,14.6,65.1,3,7,Golden State Warriors,1
Golden State Warriors,2017,106,115.8,12.0,29.7,9.1,7.4,35.1,15.0,80.2,1,1,Golden State Warriors,1
Cleveland Cavaliers,2016,111,107.4,12.0,22.6,7.2,4.0,33.5,13.2,71.2,4,24,Cleveland Cavaliers,1
Golden State Warriors,2015,112,110.0,11.6,27.3,8.8,6.0,34.4,14.7,81.3,1,1,Golden State Warriors,1
San Antonio Spurs,2014,112,104.7,8.5,24.3,7.4,5.0,33.8,14.5,66.1,6,4,San Antonio Spurs,1
Miami Heat,2013,115,101.5,8.5,22.8,9.2,5.2,29.5,14.3,78.3,6,15,Miami Heat,1
Miami Heat,2012,122,98.9,6.8,20.1,8.4,5.0,30.9,14.7,68.0,7,12,Miami Heat,1
Dallas Mavericks,2011,78,99.9,8.4,22.7,7.0,4.0,30.2,13.8,64.1,11,23,Dallas Mavericks,1
Los Angeles Lakers,2010,114,101.3,6.8,20.9,7.4,5.1,31.4,13.4,65.8,11,9,Los Angeles Lakers,1
