team,season_year,home_games,away_games,home_win_pct,away_win_pct,home_avg_score,away_avg_score
Oklahoma City Thunder,2025,60,53,86.7,71.7,123.1,118.0
Los Angeles Clippers,2025,26,29,76.9,44.8,117.1,112.2
Houston Rockets,2025,43,47,74.4,53.2,115.8,118.0
New York Knicks,2025,58,48,69.0,54.2,117.1,113.3
Boston Celtics,2025,45,51,68.9,68.6,115.8,112.8
Los Angeles Lakers,2025,45,45,66.7,51.1,114.2,113.4
Detroit Pistons,2025,47,46,66.0,60.9,117.2,117.4
Denver Nuggets,2025,51,52,64.7,61.5,122.8,116.8
Golden State Warriors,2025,48,54,64.6,51.9,114.3,113.8
Minnesota Timberwolves,2025,53,52,64.2,57.7,118.5,115.2
Cleveland Cavaliers,2025,50,47,64.0,59.6,119.9,120.9
Phoenix Suns,2025,40,47,62.5,38.3,115.5,114.0
Indiana Pacers,2025,58,51,60.3,43.1,116.3,113.9
Milwaukee Bucks,2025,47,46,57.4,45.7,118.6,111.9
San Antonio Spurs,2025,41,46,56.1,50.0,117.0,116.2
Toronto Raptors,2025,45,45,53.3,51.1,112.0,112.3
Orlando Magic,2025,46,46,52.2,47.8,109.6,107.5
Chicago Bulls,2025,46,42,52.2,45.2,116.3,120.0
Portland Trail Blazers,2025,43,45,51.2,40.0,114.1,114.8
Dallas Mavericks,2025,45,44,48.9,29.5,113.9,111.9
LA Clippers,2025,17,19,47.1,31.6,114.5,110.2
Sacramento Kings,2025,40,47,45.0,36.2,114.1,114.0
Memphis Grizzlies,2025,45,47,44.4,46.8,120.0,115.7
Miami Heat,2025,50,47,44.0,40.4,113.9,113.0
Atlanta Hawks,2025,42,47,42.9,46.8,117.8,119.4
New Orleans Pelicans,2025,46,41,39.1,19.5,115.5,112.2
Philadelphia 76ers,2025,47,40,36.2,30.0,112.4,112.7
Charlotte Hornets,2025,42,44,35.7,20.5,111.8,108.2
Utah Jazz,2025,48,39,33.3,15.4,115.5,113.0
Brooklyn Nets,2025,45,39,26.7,35.9,105.7,107.1
Washington Wizards,2025,40,47,20.0,31.9,111.7,105.9
Oklahoma City Thunder,2024,47,51,80.9,64.7,117.4,114.7
Boston Celtics,2024,58,49,79.3,73.5,120.1,115.9
Cleveland Cavaliers,2024,50,49,76.0,53.1,116.5,112.2
Orlando Magic,2024,46,48,73.9,37.5,109.2,105.0
New York Knicks,2024,53,48,69.8,62.5,113.1,113.6
Denver Nuggets,2024,49,47,67.3,57.4,114.9,114.4
Houston Rockets,2024,42,46,66.7,47.8,116.7,113.1
