team,season_year,games_played,avg_points,avg_3pm,avg_assists,avg_steals,avg_blocks,avg_def_reb,avg_turnovers,win_pct,rank_offense,rank_defense
Oklahoma City Thunder,2025,113,120.7,14.1,26.0,10.1,5.5,34.2,11.7,79.6,1,1
Boston Celtics,2025,96,114.2,16.2,24.8,7.5,5.6,32.8,11.7,68.8,18,14
Detroit Pistons,2025,93,117.3,11.7,26.4,9.2,5.8,33.0,14.3,63.4,7,2
Houston Rockets,2025,90,117.0,12.7,24.4,8.6,5.1,32.9,13.8,63.3,8,7
Denver Nuggets,2025,103,119.8,12.7,28.9,7.4,4.5,34.4,13.4,63.1,3,8
New York Knicks,2025,106,115.3,12.8,25.8,8.3,4.1,31.5,12.6,62.3,11,29
Cleveland Cavaliers,2025,97,120.4,15.3,27.2,8.4,4.4,33.1,12.9,61.9,2,12
Minnesota Timberwolves,2025,105,116.9,14.5,26.4,8.0,5.1,32.8,13.6,61.0,9,14
Los Angeles Clippers,2025,55,114.5,12.3,25.8,9.1,4.9,33.2,12.7,60.0,15,4
Los Angeles Lakers,2025,90,113.8,13.2,24.8,7.7,4.3,32.0,14.1,58.9,22,28
Golden State Warriors,2025,102,114.0,15.6,28.3,9.6,4.3,31.6,14.2,57.8,20,16
San Antonio Spurs,2025,87,116.6,14.0,27.7,8.5,4.7,32.8,13.2,52.9,10,11
Indiana Pacers,2025,109,115.2,13.1,27.4,8.2,5.5,32.2,12.8,52.3,13,12
Toronto Raptors,2025,90,112.2,12.1,28.9,8.7,4.2,32.2,13.7,52.2,26,20
Milwaukee Bucks,2025,93,115.3,14.5,25.9,7.4,4.3,33.8,13.2,51.6,11,16
Orlando Magic,2025,92,108.6,10.9,23.7,8.2,5.4,31.6,12.7,50.0,28,19
Phoenix Suns,2025,87,114.7,14.3,27.2,8.5,4.5,31.5,14.0,49.4,14,23
Chicago Bulls,2025,88,118.1,14.3,29.0,7.7,4.8,35.5,14.1,48.9,5,2
Memphis Grizzlies,2025,92,117.8,13.6,27.3,8.2,5.0,33.8,14.6,45.7,6,5
Portland Trail Blazers,2025,88,114.5,13.6,24.4,8.3,4.9,31.8,15.6,45.5,15,21
Atlanta Hawks,2025,89,118.6,14.0,30.1,9.2,5.0,32.0,14.1,44.9,4,9
Miami Heat,2025,97,113.5,13.0,27.3,8.0,4.2,33.9,13.4,42.3,23,10
Sacramento Kings,2025,87,114.1,12.0,26.1,8.0,4.3,32.1,13.2,40.2,19,24
Dallas Mavericks,2025,89,112.9,11.4,25.6,7.7,5.7,33.4,13.8,39.3,24,6
Philadelphia 76ers,2025,87,112.6,13.0,24.2,8.8,5.1,30.3,13.1,33.3,25,27
Brooklyn Nets,2025,84,106.3,13.5,25.5,7.9,4.4,30.3,14.7,31.0,30,30
New Orleans Pelicans,2025,87,113.9,11.7,25.7,8.4,4.7,31.6,13.6,29.9,21,22
Charlotte Hornets,2025,86,110.0,13.4,25.6,7.1,4.4,32.9,15.0,27.9,27,25
Washington Wizards,2025,87,108.6,13.3,25.3,7.1,5.2,33.1,14.8,26.4,28,18
Utah Jazz,2025,87,114.4,14.1,27.6,7.2,3.8,33.3,15.6,25.3,17,26
