player,season_year,avg_points,rank_na_temporada
Shai Gilgeous-Alexander,2025,31.6,1
Luka Doncic,2025,29.0,2
Anthony Edwards,2025,28.1,3
Giannis Antetokounmpo,2025,28.1,3
Nikola Jokic,2025,27.7,5
Jalen Brunson,2025,26.5,6
Donovan Mitchell,2025,25.7,7
Devin Booker,2025,25.4,8
Cade Cunningham,2025,25.2,9
Kevin Durant,2025,24.8,10
Stephen Curry,2025,24.2,11
Kawhi Leonard,2025,23.7,12
Paolo Banchero,2025,23.5,13
James Harden,2025,23.3,14
Franz Wagner,2025,23.1,15
Jamal Murray,2025,22.7,16
LeBron James,2025,22.4,17
Tyrese Maxey,2025,22.3,18
Zach LaVine,2025,22.1,19
Austin Reaves,2025,21.9,20
Jaylen Brown,2025,21.6,21
Karl-Anthony Towns,2025,21.0,22
DeMar DeRozan,2025,20.9,23
Trae Young,2025,20.9,23
Trey Murphy III,2025,20.6,25
Miles Bridges,2025,20.5,26
Pascal Siakam,2025,20.5,26
Coby White,2025,20.3,28
Jalen Green,2025,20.1,29
Julius Randle,2025,20.1,29
Jalen Williams,2025,19.8,31
Desmond Bane,2025,19.7,32
Deni Avdija,2025,19.6,33
Jaren Jackson Jr.,2025,19.5,34
Norman Powell,2025,19.3,35
Alperen Sengun,2025,19.1,36
Jordan Poole,2025,19.1,36
Keyonte George,2025,19.0,38
Michael Porter Jr.,2025,18.8,39
Shaedon Sharpe,2025,18.6,40
CJ McCollum,2025,18.2,41
Scottie Barnes,2025,18.1,42
Tyler Herro,2025,18.1,42
Evan Mobley,2025,17.7,44
Tyrese Haliburton,2025,17.6,45
Darius Garland,2025,17.3,46
Stephon Castle,2025,17.2,47
Bam Adebayo,2025,17.0,48
RJ Barrett,2025,17.0,48
Derrick White,2025,16.9,50
Ivica Zubac,2025,16.7,51
Josh Giddey,2025,16.7,51
OG Anunoby,2025,16.5,53
Mikal Bridges,2025,16.3,54
Aaron Gordon,2025,15.9,55
Dillon Brooks,2025,15.8,56
Nikola Vucevic,2025,15.8,56
Quentin Grimes,2025,15.8,56
Devin Vassell,2025,15.6,59
Anfernee Simons,2025,15.4,60
Chet Holmgren,2025,15.4,60
Collin Sexton,2025,15.1,62
Onyeka Okongwu,2025,14.9,63
Immanuel Quickley,2025,14.8,64
Malik Monk,2025,14.6,65
Amen Thompson,2025,14.5,66
Bennedict Mathurin,2025,14.5,66
Christian Braun,2025,14.4,68
Jalen Duren,2025,14.3,69
Andrew Wiggins,2025,14.1,70
De'Andre Hunter,2025,14.1,70
Jaden McDaniels,2025,14.1,70
Payton Pritchard,2025,14.1,70
Mark Williams,2025,14.0,74
Naz Reid,2025,13.9,75
Russell Westbrook,2025,13.9,75
Myles Turner,2025,13.7,77
Alex Sarr,2025,13.5,78
Naji Marshall,2025,13.5,78
Tobias Harris,2025,13.5,78
Jarrett Allen,2025,13.2,81
Kyle Kuzma,2025,13.2,81
Cameron Johnson,2025,13.1,83
Damian Lillard,2025,13.1,83
Keldon Johnson,2025,13.1,83
Keegan Murray,2025,13.0,86
Rui Hachimura,2025,12.8,87
Dyson Daniels,2025,12.6,88
Kristaps Porzingis,2025,12.6,88
Nickeil Alexander-Walker,2025,12.6,88
Brandin Podziemski,2025,12.5,91
Santi Aldama,2025,12.5,91
Matas Buzelis,2025,12.4,93
Harrison Barnes,2025,12.3,94
Klay Thompson,2025,12.3,94
P.J. Washington,2025,12.3,94
Kelly Oubre Jr.,2025,12.1,97
Andrew Nembhard,2025,12.0,98
Anthony Black,2025,12.0,98
Donte DiVincenzo,2025,12.0,98
Grayson Allen,2025,12.0,98
Josh Hart,2025,12.0,98
Kevin Porter Jr.,2025,12.0,98
Nic Claxton,2025,11.9,104
Toumani Camara,2025,11.9,104
Zaccharie Risacher,2025,11.8,106
Bobby Portis,2025,11.6,107
Tim Hardaway Jr.,2025,11.6,107
Aaron Nesmith,2025,11.5,109
Kel'el Ware,2025,11.5,109
Rudy Gobert,2025,11.4,111
Brice Sensabaugh,2025,11.2,112
Dennis Schroder,2025,11.2,112
Gary Trent Jr.,2025,11.2,112
Jaylen Wells,2025,11.2,112
Max Christie,2025,11.2,112
Ausar Thompson,2025,10.9,117
Wendell Carter Jr.,2025,10.9,117
Kyshawn George,2025,10.7,119
Aaron Wiggins,2025,10.6,120
Jabari Smith Jr.,2025,10.4,121
Kevin Huerter,2025,10.3,122
Duncan Robinson,2025,10.2,123
Moses Moody,2025,10.2,123
Deandre Ayton,2025,10.1,125
Kyle Filipowski,2025,10.1,125
Obi Toppin,2025,10.1,125
Brook Lopez,2025,10.0,128
Ryan Rollins,2025,10.0,128
Tre Jones,2025,10.0,128
Bub Carrington,2025,9.9,131
Isaiah Hartenstein,2025,9.9,131
Caris LeVert,2025,9.8,133
Derrick Jones Jr.,2025,9.8,133
Jaime Jaquez Jr.,2025,9.8,133
Jerami Grant,2025,9.8,133
Nick Smith Jr.,2025,9.8,133
Jakob Poeltl,2025,9.6,138
Isaiah Joe,2025,9.4,139
Julian Champagnie,2025,9.4,139
Noah Clowney,2025,9.3,141
Buddy Hield,2025,9.2,142
D'Angelo Russell,2025,9.1,143
Isaiah Collier,2025,9.1,143
Ziaire Williams,2025,9.1,143
Brandon Williams,2025,9.0,146
AJ Green,2025,8.9,147
Ajay Mitchell,2025,8.9,147
Jonas Valanciunas,2025,8.9,147
Jonathan Kuminga,2025,8.9,147
Royce O'Neale,2025,8.9,147
Collin Gillespie,2025,8.8,152
Vit Krejci,2025,8.8,152
Jose Alvarado,2025,8.7,154
T.J. McConnell,2025,8.7,154
Tari Eason,2025,8.7,154
Daniel Gafford,2025,8.6,157
Davion Mitchell,2025,8.6,157
Draymond Green,2025,8.5,159
Jrue Holiday,2025,8.5,159
Luguentz Dort,2025,8.4,161
Zach Edey,2025,8.4,161
Gradey Dick,2025,8.3,163
Miles McBride,2025,8.3,163
Peyton Watson,2025,8.3,163
