season_year,total_games,avg_3pt_attempted,avg_3pt_made,avg_3pt_pct
1980,5,2.5,0.1,3.1
1981,24,2.2,0.5,21.3
1982,138,3.0,0.8,25.1
1983,99,2.9,0.7,23.1
1984,95,2.9,0.7,21.4
1985,473,3.7,1.0,26.0
1986,971,4.1,1.2,26.6
1987,980,5.1,1.6,28.2
1988,1063,5.5,1.7,29.9
1989,1121,7.1,2.3,30.5
1990,1185,6.9,2.3,30.9
1991,1183,7.6,2.4,30.9
1992,1147,8.0,2.7,32.3
1993,1193,9.4,3.2,32.7
1994,1186,11.7,4.0,33.6
1995,1222,15.7,5.7,36.2
1996,1269,16.4,6.0,36.2
1997,1262,15.4,5.5,34.8
1998,837,13.2,4.6,34.5
1999,1213,13.3,4.5,33.5
2000,1281,13.7,4.8,34.9
2001,1253,14.2,5.1,35.2
2002,1276,14.7,5.2,34.9
2003,1294,15.0,5.2,34.2
2004,1295,15.1,5.2,34.4
2005,1435,15.7,5.6,35.2
2006,1451,16.4,5.8,35.0
2007,1403,17.4,6.2,35.6
2008,1437,18.0,6.5,35.6
2009,1428,18.1,6.5,35.7
2010,1432,18.3,6.5,35.6
2011,915,18.0,6.3,34.7
2012,1580,18.9,6.6,34.6
2013,1432,20.5,7.3,35.3
2014,1441,21.9,7.8,35.4
2015,1419,23.4,8.1,34.5
2016,1429,25.3,9.0,35.3
2017,1417,28.0,10.1,35.9
2018,1382,30.2,10.7,35.6
2019,1332,33.2,11.8,35.4
2020,789,34.9,12.6,36.0
2021,1697,35.0,12.6,35.9
2022,1407,34.7,12.4,35.5
2023,1319,34.7,12.5,36.1
2024,1392,36.1,13.0,36.0
2025,1397,37.3,13.4,35.9
